"﻿SITEID","TITLE","lng","lat"
"50010110000001","万州****吉祥）","108.388513","30.815766"
"50010110000003","万州****网吧 ","108.384069","30.832581"
"50010110000004","万州****A城）","108.450365","30.770759"
"50010110000005","万州****网吧）","108.371715","30.820294"
"50010110000006","万州****昆网吧","108.413439","30.710054"
"50010110000008","万州****云网吧","108.36863","30.829277"
"50010110000010","万州****限网吧","108.391527","30.804756"
"50010110000012","万州****曦网吧","108.387882","30.809576"
"50010110000013","万州****星网吧","108.401573","30.76114"
"50010110000015","万州****月网吧","108.377113","30.82251"
"50010110000016","万州****A城)","108.450365","30.770759"
"50010110000017","万州****情网吧","108.38948","30.813586"
"50010110000018","万州****纤网吧","108.394101","30.806925"
"50010110000019","万州****云网吧","108.389864","30.802786"
"50010110000020","万州****安网吧","108.661564","30.806487"
"50010110000022","万州****欧网吧","108.386063","30.813202"
"50010110000024","万州****阳网吧","108.262007","30.510423"
"50010110000026","万州****散网吧","108.397109","30.830695"
"50010110000028","万州****离网吧","108.378859","30.848859"
"50010110000029","万州****站网吧","108.38733","30.808314"
"50010110000030","万州****吉网吧","108.394295","30.829173"
"50010110000031","万州****宇网吧","108.377629","30.850137"
"50010110000032","万州****涛网吧","108.412526","30.838402"
"50010110000033","万州****网吧)","108.415","30.839271"
"50010110000036","万州****神网吧","108.387901","30.816055"
"50010110000040","万州****手指)","108.377045","30.851604"
"50010110000041","万州****涵网吧","108.416894","30.77066"
"50010110000042","万州****A城)","108.70671","30.935851"
"50010110000043","万州****化网吧","108.289752","30.672901"
"50010110000044","万州****休闲）","108.401989","30.761491"
"50010110000046","万州****林网吧","108.416384","30.769594"
"50010110000047","万州****村网吧","108.413439","30.710054"
"50010110000048","万州****网吧）","108.413439","30.710054"
"50010110000052","万州****源网吧","108.375376","30.820424"
"50010110000053","万州****站网吧","108.623132","30.819623"
"50010110000055","万州****雪网吧","108.389228","30.809835"
"50010110000057","万州****新闻）","108.424149","30.686028"
"50010110000058","万州****归网吧","108.396234","30.781653"
"50010110000059","万州****桥网吧","108.416804","30.77086"
"50010110000060","万州****阳网吧","108.386922","30.814504"
"50010110000061","万州****云网吧","108.378427","30.807923"
"50010110000067","万州****航网吧","108.495991","30.773141"
"50010110000068","万州****韵网吧","108.401989","30.761491"
"50010110000070","万州****风网吧","106.307693","29.608452"
"50010110000072","万州****路网吧","108.093363","30.723646"
"50010110000073","万州****功网吧","108.273553","30.820141"
"50010110000076","万州****文网吧","108.615955","30.663515"
"50010110000077","万州****风网吧","108.393144","30.827039"
"50010110000080","万州****指网吧","108.383614","30.815837"
"50010110000082","万州****风网吧","108.384396","30.818266"
"50010110000084","万州****意网吧","108.37639","30.849581"
"50010110000085","万州****达网吧","108.376556","30.848122"
"50010110000088","万州****滩网吧","108.612987","30.74119"
"50010110000091","万州****智网吧","108.374907","30.857677"
"50010110000092","万州****巢网吧","108.374146","30.820843"
"50010110000093","万州****骋网吧","108.379659","30.820686"
"50010110000096","万州****鸟网吧","108.386582","30.808392"
"50010110000099","万州****鑫网吧","108.377654","30.850226"
"50010110000101","万州****瑞网吧","108.410577","30.776072"
"50010110000102","万州****鸟网吧","108.382911","30.817206"
"50010110000103","万州****龙网吧","108.385902","30.816495"
"50010110000104","万州****君网吧","108.705997","30.941001"
"50010110000105","万州****龙网吧","108.41232","30.837899"
"50010110000106","万州****光网吧","108.369807","30.832177"
"50010110000107","万州****地网吧","108.376877","30.822631"
"50010110000110","万州****日网吧","108.8217","30.601327"
"50010110000111","万州****莲网吧","108.417697","30.769703"
"50010110000113","万州****光网吧","108.245019","30.641239"
"50010110000115","万州****十度）","108.383684","30.819846"
"50010110000117","万州****仙网吧","108.383593","30.805652"
"50010110000118","万州****燕网吧","108.444714","30.905451"
"50010110000119","万州****五网吧","108.44361","30.905287"
"50010110000120","万州****里巴吧","108.378854","30.822413"
"50010110000123","万州****蓝网城","108.386465","30.813557"
"50010110000126","万州****纪网吧","108.388082","30.814702"
"50010110000128","万州****心网吧","108.388083","30.808733"
